Plaats,Postcode,Gemeente,Provincie
Amsterdam,1001-1099,Amsterdam,Noord-Holland
Amsterdam-Duivendrecht,1114-1114,Ouder-Amstel,Noord-Holland
Amsterdamscheveld,7887-7887,Emmen,Drenthe
Amsweer,9937-9937,Eemsdelta,Groningen
Andel,4281-4281,Altena,Noord-Brabant
Andelst,6673-6673,Overbetuwe,Gelderland
Anderen,9465-9465,Aa en Hunze,Drenthe
Andijk,1619-1619,Medemblik,Noord-Holland
Ane,7784-7784,Hardenberg,Overijssel
Anerveen,7788-7788,Hardenberg,Overijssel
Anevelde,7785-7785,Hardenberg,Overijssel
Angeren,6687-6687,Lingewaard,Gelderland
Angerlo,6986-6986,Zevenaar,Gelderland
Anholt,7935-7935,De Wolden,Drenthe
Anjum / Eanjum,9133-9133,Noordoost-Friesland,Friesland
Ankeveen,1244-1244,Wijdemeren,Noord-Holland
Ankum,7722-7722,Dalfsen,Overijssel
Anloo,9467-9467,Aa en Hunze,Drenthe
Het Oudeland,4451-4451,Borsele,Zeeland
Annabuorren,8632-8632,Zuidwest-Friesland,Friesland
Anna Paulowna,1761-1761,Hollands Kroon,Noord-Holland
Annen,9468-9468,Aa en Hunze,Drenthe
Annendaal,6061-6061,Roerdalen,Limburg
Annerveenschekanaal,9654-9654,Aa en Hunze,Drenthe
Anneville,4858-4858,Alphen-Chaam,Noord-Brabant
Anreep,9404-9404,Assen,Drenthe
Ansen,7964-7964,De Wolden,Drenthe
Ansen,7991-7991,Westerveld,Drenthe
Apeldoorn,7311-7336,Apeldoorn,Gelderland
Apenhuizen,7437-7437,Deventer,Overijssel
Appel,3862-3862,Nijkerk,Gelderland
Appelscha / Appelskea,8426-8426,Ooststellingwerf,Friesland
Appeltern,6629-6629,West Maas en Waal,Gelderland
Appen,7383-7383,Voorst,Gelderland
Appingedam,9901-9903,Eemsdelta,Groningen
Arcen,5944-5944,Venlo,Limburg
Archem,8148-8148,Ommen,Overijssel
Arendnest,5427-5427,Boekel,Noord-Brabant
Arensgenhout,6336-6336,Beekdaelen,Limburg
Arkel,4241-4241,Molenlanden,Zuid-Holland
Arkens,8802-8802,Waadhoeke,Friesland
Armhoede,7241-7241,Lochem,Gelderland
Armweide,7963-7963,De Wolden,Drenthe
Hoedekenskerke,4433-4433,Borsele,Zeeland
